name,type,region,rating,contact,verification_status
Heritage Tours,Guide,Delhi,4.8,+91-9876543210,Verified
Royal Stay,Hotel,Jaipur,4.5,+91-9876543211,Verified
Spice Route,Restaurant,Kerala,4.7,+91-9876543212,Verified
Adventure India,Tour Operator,Himachal Pradesh,4.6,+91-9876543213,Verified
Cultural Crafts,Shop,Rajasthan,4.4,+91-9876543214,Verified
Yoga Retreat,Wellness Center,Rishikesh,4.9,+91-9876543215,Verified
Desert Safari,Adventure,Rajasthan,4.7,+91-9876543216,Verified
Ayurveda Center,Wellness,Kerala,4.8,+91-9876543217,Verified
Heritage Transport,Transport,Delhi,4.5,+91-9876543218,Verified
Local Bites,Restaurant,Mumbai,4.6,+91-9876543219,Verified 